+-----------------------------------------+-------------+
| title                                   | name        |
| Majesty,' he began. 'You're a very.     | Daichi Ando |
| I think.' And she began looking at the. | Daichi Ando |
| Gryphon, before Alice could think of.   | Daichi Ando |
| Gryphon went on talking: 'Dear, dear!.  | Daichi Ando |
| Alice coming. 'There's PLENTY of.       | Daichi Ando |
| Hearts, carrying the King's crown on a. | Daichi Ando |
| The Queen had ordered. They very soon.  | Daichi Ando |
| CHAPTER VIII. The Queen's argument.     | Daichi Ando |
| Writhing, of course, Alice could only.  | Daichi Ando |
| White Rabbit with pink eyes ran close.  | Daichi Ando |
| Duchess said to the law, And argued.    | Daichi Ando |
| However, she did not much surprised at. | Daichi Ando |
| The Queen smiled and passed on. 'Who.   | Daichi Ando |
| Queen ordering off her unfortunate.     | Daichi Ando |
| ONE respectable person!' Soon her eye.  | Daichi Ando |
| Caterpillar seemed to rise like a.      | Daichi Ando |
| Alice crouched down among the people.   | Daichi Ando |
| Improve his shining tail, And pour the. | Daichi Ando |
| Alice had learnt several things of.     | Daichi Ando |
| Dodo solemnly presented the thimble.    | 金谷 翔平   |
| March Hare will be the use of a.        | 金谷 翔平   |
| Alice. 'I'M not a moment that it might. | 金谷 翔平   |
| Duchess, as she wandered about for.     | 金谷 翔平   |
| I'm not the smallest notice of her or.  | 金谷 翔平   |
| I'll set Dinah at you!' There was.      | 金谷 翔平   |
| Alice, 'shall I NEVER get any older.    | 金谷 翔平   |
| Queen jumped up and down, and the.      | 金谷 翔平   |
| Alice, thinking it was over at last.    | 金谷 翔平   |
| Alice, 'to speak to this mouse?.        | 金谷 翔平   |
| Alice asked in a whisper.) 'That would. | 金谷 翔平   |
| Mystery,' the Mock Turtle yet?' 'No,'.  | 金谷 翔平   |
| Dormouse went on, very much at this.    | 金谷 翔平   |
| YOURS: I don't take this young lady to. | 金谷 翔平   |
| Alice timidly. 'Would you like the.     | 金谷 翔平   |
| The question is, Who in the pictures.   | 金谷 翔平   |
| Our family always HATED cats: nasty.    | 金谷 翔平   |
| King. On this the whole cause, and.     | 金谷 翔平   |
| FOOT, ESQ. HEARTHRUG, NEAR THE FENDER.  | 金谷 翔平   |
| Alice timidly. 'Would you like the.     | 金谷 翔平   |
| And Alice was not a moment like a.      | 金谷 翔平   |
| This question the Dodo in an offended.  | 金谷 翔平   |
| YOUR shoes done with?' said the King.   | 金谷 翔平   |
| I am very tired of being all alone.     | 金谷 翔平   |
| Queen, who was reading the list of the. | 金谷 翔平   |
| Tortoise because he was in livery.      | 金谷 翔平   |
| She did not dare to laugh; and, as the. | 金谷 翔平   |
| Mock Turtle. Alice was beginning to.    | 金谷 翔平   |
| Duchess, digging her sharp little.      | 金谷 翔平   |
| The Cat only grinned when it grunted.   | 金谷 翔平   |
| And with that she knew she had.         | 金谷 翔平   |
| She gave me a good thing!' she said to. | 金谷 翔平   |
| Alice remarked. 'Oh, you foolish.       | 金谷 翔平   |
| Alice, 'I've often seen them at.        | 金谷 翔平   |
| Pigeon had finished. 'As if I must, I.  | 金谷 翔平   |
| Rabbit's little white kid gloves and a. | 金谷 翔平   |
| King. 'Shan't,' said the Mock Turtle.   | 金谷 翔平   |
| King, 'or I'll have you executed.       | 金谷 翔平   |
| Gryphon, with a soldier on each side.   | 金谷 翔平   |
| So Alice got up very sulkily and.       | 金谷 翔平   |
| Soon her eye fell on a crimson velvet.  | 金谷 翔平   |
| Queen, who were lying on the floor, as. | 金谷 翔平   |
| By the use of a muchness"--did you.     | 金谷 翔平   |
| At this moment the King, 'or I'll have. | 金谷 翔平   |
| That he met in the window?' 'Sure.      | 金谷 翔平   |
| Either the well was very nearly.        | 金谷 翔平   |
| Said the mouse doesn't get out." Only.  | 金谷 翔平   |
| French lesson-book. The Mouse gave a.   | 金谷 翔平   |
| I like"!' 'You might just as the Lory.  | 金谷 翔平   |
| Alice; 'living at the door opened.      | 金谷 翔平   |
| I suppose?' 'Yes,' said Alice, whose.   | 金谷 翔平   |
| How the Owl and the other guinea-pig.   | 金谷 翔平   |
| Alice loudly. 'The idea of the way I.   | 金谷 翔平   |
| YOU like cats if you don't know what.   | 金谷 翔平   |
| WHAT?' said the Hatter. He had been.    | 金谷 翔平   |
| Dormouse said--' the Hatter added as.   | 金谷 翔平   |
| I should think!' (Dinah was the White.  | 金谷 翔平   |
| Duchess, digging her sharp little chin. | 金谷 翔平   |
| Mock Turtle. 'Certainly not!' said.     | 金谷 翔平   |
| CHAPTER IV. The Rabbit Sends in a.      | 金谷 翔平   |
| Alice the moment she appeared; but she. | 金谷 翔平   |
| Duchess: 'flamingoes and mustard both.  | 金谷 翔平   |
| I needn't be so easily offended!'.      | 金谷 翔平   |
| Alice thought to herself. 'Of the.      | 金谷 翔平   |
| Alice. 'What IS a long silence after.   | 金谷 翔平   |
| Alice; 'and I wish I could say if I.    | 金谷 翔平   |
| I must have been that,' said the King.  | 金谷 翔平   |
| There was a table set out under a tree. | 金谷 翔平   |
| However, when they had settled down.    | 金谷 翔平   |
| When the pie was all about, and make.   | 金谷 翔平   |
| Footman, 'and that for the immediate.   | 金谷 翔平   |
| EVEN finish, if he doesn't begin.' But. | 金谷 翔平   |
| Bill's place for a minute, nurse! But.  | 金谷 翔平   |
| Gryphon, and all that,' said the.       | 金谷 翔平   |
| Dormouse shall!' they both bowed low.   | 金谷 翔平   |
| THE KING AND QUEEN OF HEARTS. Alice.    | 金谷 翔平   |
+-----------------------------------------+-------------+
200 rows in set (0.004 sec)
